"name","weg","age_of_death","smoothie"
"Luke Cage 166550","Kolendra",82,"TRUE"
"The Punisher 97227","Fasolka szparagowa",79,"FALSE"
"Deadpool 58407","Papryka",79,"TRUE"
"Deadpool 182347","Dynia kabocha",89,"FALSE"
"Scar 152036","Rzodkiew",72,"TRUE"
"Notorious B.I.G. 126922","Marchew",84,"TRUE"
"Valeria Richards 133536","Imbir",74,"FALSE"
"Daredevil 77695","Mâche",64,"FALSE"
"Pablo Escabar 116586","Kukurydza",90,"FALSE"
"Laa-Laa 153223","Papryczka chili",88,"FALSE"
"Franklin Richards 43371","Fenkuł",96,"FALSE"
"Bob Budowniczy 108515","Bakłażan",62,"FALSE"
"Aragorn 57746","Ogórek melona",62,"FALSE"
"Alicja z Krainy Czarów 13307","Sałata rzymska",94,"FALSE"
"Darth Maul 131043","Żółta cukinia",70,"FALSE"
"Black Widow 18289","Fasola Lima",108,"FALSE"
"Victor Von Doom 140431","Cebula dymka",59,"FALSE"
"Phoenix 165874","Zucchini",91,"TRUE"
"Okoye 32292","Żółta cukinia",63,"TRUE"
"Pablo Escabar 42998","Ziemniak",75,"TRUE"
"Babcia Ela 13305","Szczypiorek",80,"TRUE"
"Scarlet Witch 146587","Szczypiorek",69,"FALSE"
"Elvis Presley 122958","Bataty",83,"FALSE"
"Luke Cage 156627","Rzepak",58,"FALSE"
"Jim Morrison 104980","Burak",43,"FALSE"
"Mickey Mouse 13327","Liście mniszka",56,"FALSE"
"Darth Maul 192413","Groch cukrowy",60,"TRUE"
"Bruce Lee 65103","Burak liściowy",96,"TRUE"
"Ghost Rider 74853","Sałata",92,"FALSE"
"Mufasa 170443","Rukola",71,"TRUE"
"Robert Lewandowski 145941","Karczoch",81,"FALSE"
"Hulk 109908","Marchew",60,"FALSE"
"Cable 81608","Taro",82,"TRUE"
"She-Hulk 59205","Słodka kukurydza",83,"TRUE"
"Silver Surfer 3326","Zucchini",68,"TRUE"
"Thor 167808","Cebula",73,"TRUE"
"Joker 164678","Portulaka",79,"FALSE"
"Goofy 39415","Lufa",86,"FALSE"
"Sherlock Holmes 150975","Sól morska",85,"FALSE"
"Robert Lewandowski 123677","Imbir",85,"TRUE"
"Ultron 166754","Szpinak",96,"FALSE"
"Kojot Wile E. 157542","Burak",71,"FALSE"
"Rogue 91528","Lufa",96,"TRUE"
"Franklin Richards 123904","Fasola zwykła",74,"FALSE"
"SpongeBob SquarePants 185173","Brzoskwinia",78,"FALSE"
"The Punisher 95286","Koper",67,"TRUE"
"Twjózek 26294","Ogórek melona",63,"FALSE"
"Doctor Strange 48457","Seler",68,"FALSE"
"Myszka Miki 169050","Cress",58,"FALSE"
"Doug Funnie 75789","Bakłażan",88,"FALSE"
"Hawkeye 162557","Kard",98,"TRUE"
"Boots 36474","Cebula",71,"FALSE"
"Simba 160957","Bazylia tajska",66,"TRUE"
"Patrick Star 62445","Fasola haricot vert",70,"TRUE"
"Domino 18469","Endywia",59,"TRUE"
"R2-D2 24589","Pasternak",65,"TRUE"
"Helena 177884","Brzoskwinia",47,"TRUE"
"Twjózek 29528","Banan",64,"FALSE"
"Tinky Winky 108827","Koper",97,"FALSE"
"Marilyn Monroe 14895","Bataty",78,"TRUE"
"Lady Deathstrike 86505","Burak",83,"TRUE"
"Jafar 104683","Jicama",73,"TRUE"
"Elsa 185057","Rabarbar",79,"FALSE"
"Tinky Winky 109462","Chińska kapusta",69,"FALSE"
"Lara Croft 63315","Fasola adzuki",100,"FALSE"
"Angelica Pickles 174546","Liście mniszka",70,"FALSE"
"Chuckie Finster 171938","Rukiew wodna",78,"FALSE"
"Goofy 194362","Fasola żuraw",54,"FALSE"
"Wasp 122777","Radicchio",101,"TRUE"
"She-Hulk 61520","Brokuł",92,"TRUE"
"Mystique 157242","Fasola adzuki",111,"FALSE"
"Franklin Richards 167008","Brzoskwinia",76,"FALSE"
"Simba 26422","Papryka",89,"TRUE"
"Fryderyk Chopin 32322","Brokuł",76,"FALSE"
